id,sex,employment,married,income,signal1
1,M,employed,0,29758,.76535499
2,F,retired,1,6140,.093787514
3,F,employed,1,27186,.54617697
4,M,employed,1,8429,.74319339
5,M,retired,1,2820,.3971445
6,M,student,0,0,.84198266
7,M,employed,1,42269,0
8,M,unemployed,1,0,0
9,F,unemployed,0,26131,.75223964
10,M,employed,1,7003,.49967399
11,M,employed,1,8359,.68164879
12,M,unemployed,0,0,.68889219
13,M,employed,1,26580,.90091383
14,M,employed,1,8563,.041262221
15,F,employed,0,28934,.54835153
16,M,employed,1,14529,.50710702
17,M,retired,0,45612,0
18,F,employed,1,5855,.8316344
19,F,student,0,12608,.043949898
20,M,employed,0,16024,.19596483
21,M,retired,0,53474,.24121659
22,M,employed,1,12628,.65682817
23,M,employed,1,29819,.68844974
24,F,employed,1,8104,.73989606
25,F,retired,1,2396,.055573642
26,M,unemployed,1,0,.61488688
27,M,unemployed,0,6001,.10545725
28,F,employed,1,24565,0
29,M,student,1,6234,.82222837
30,F,retired,0,3430,0
31,M,unemployed,0,0,0
32,F,employed,0,9983,0
33,F,employed,0,9532,0
34,M,retired,1,12794,.21334186
35,M,employed,0,6069,0
36,M,unemployed,1,0,.60573554
37,F,student,1,0,.77453482
38,F,employed,0,17592,0
39,M,employed,1,8581,.53220618
40,M,employed,1,6543,0
41,M,student,0,0,.94159257
42,M,employed,0,9977,.55447292
43,M,employed,1,8806,0
44,M,employed,1,8300,.52671921
45,M,employed,1,14234,.56511462
46,M,unemployed,1,14361,.63421643
47,F,retired,1,3278,.22452244
48,M,retired,0,4795,0
49,M,student,0,0,.41202375
50,M,employed,1,29012,.51893264
51,M,employed,1,10743,.57180893
52,F,unemployed,1,0,.18601012
53,M,employed,1,13880,.84246552
54,F,employed,0,12708,0
55,M,employed,0,27988,0
56,M,employed,1,7392,0
57,M,retired,0,5432,.13252744
58,M,employed,0,9706,0
59,M,employed,1,12492,.22185087
60,F,retired,0,6480,.22737345
61,M,retired,0,6171,.21258524
62,F,employed,0,80829,.26974252
63,M,student,0,0,.5129686
64,F,unemployed,0,19924,.6717242
65,M,employed,1,8776,.82825702
66,F,employed,1,9057,.26233298
67,F,employed,1,15288,.023927012
68,M,employed,1,7900,.30864161
69,M,employed,1,48064,.53094596
70,M,employed,1,7382,.66973388
71,M,employed,0,19553,.7606374
72,F,employed,1,16795,.61558264
73,F,employed,1,6455,.16251007
74,M,unemployed,1,21907,.32574946
75,F,unemployed,1,0,.58247447
76,M,student,0,43162,.029708043
77,F,unemployed,1,0,.159098
78,M,employed,1,18910,.42703968
79,F,student,0,0,.86362332
80,M,employed,1,8946,0
81,M,employed,1,7744,.84920424
82,M,employed,1,9844,0
83,F,student,0,3584,.97205973
84,M,student,0,0,.78655756
85,M,employed,1,8840,.7633577
86,M,employed,0,9260,.57452059
87,F,employed,1,11132,.66387177
88,M,employed,1,17193,.76602536
89,M,unemployed,1,0,.90092796
90,F,employed,1,6762,0
91,F,unemployed,1,0,.53002012
92,F,retired,1,2375,.36553887
93,M,employed,0,9945,0
94,F,student,0,0,.87308264
95,M,employed,1,11125,0
96,F,student,0,0,.84451097
97,M,unemployed,0,42052,.50426316
98,F,employed,0,26744,.72764462
99,M,student,0,4841,.88751119
100,F,employed,1,139120,.059281029
101,M,retired,0,5212,.22968498
102,M,unemployed,1,0,.66867405
103,F,retired,1,28748,0
104,F,employed,0,37938,.41394433
105,F,employed,1,4697,.56955534
106,F,employed,0,9508,0
107,F,unemployed,0,8918,0
108,M,student,0,3903,.035314303
109,M,employed,1,6341,.84921318
110,F,unemployed,1,0,0
111,F,employed,1,58159,.96414465
112,F,employed,1,7495,.56009835
113,M,student,0,8553,.94599307
114,F,unemployed,0,21331,0
115,M,employed,1,20513,.99645835
116,F,employed,1,19768,.27006021
117,M,employed,1,5183,.65822786
118,M,employed,1,15741,.76714188
119,F,employed,1,17603,.78869754
120,F,employed,0,5243,.66479838
121,M,employed,0,10984,0
122,M,retired,0,13375,0
123,F,employed,1,11968,.89537776
124,M,employed,1,74817,.53887028
125,M,employed,1,11746,.51075339
126,M,employed,1,6777,.59898376
127,M,employed,1,5639,.18688619
128,M,employed,1,9287,0
129,F,unemployed,1,14923,.589028
130,F,unemployed,0,0,.79828948
131,F,unemployed,1,793,0
132,M,student,0,10962,.82669622
133,M,employed,1,27154,.18112473
134,F,employed,1,13598,0
135,M,employed,1,26611,.98206574
136,M,unemployed,1,60769,0
137,M,employed,1,44761,.6504668
138,F,retired,1,5439,.12069819
139,M,employed,1,81114,.73207939
140,F,employed,1,35645,.52723026
141,M,student,0,3462,.84957445
142,M,employed,1,13713,0
143,F,employed,1,7752,.61230671
144,F,employed,1,5346,.57693589
145,F,student,0,0,0
146,M,employed,1,17305,.67680359
147,M,employed,0,11559,.50139272
148,M,unemployed,1,11431,.56496429
149,M,retired,1,11294,.23424077
150,F,employed,1,21446,0
151,F,employed,1,9971,.21203251
152,M,student,0,4415,.99950653
153,F,unemployed,1,10263,.69035846
154,M,employed,1,14455,.66312283
155,M,employed,0,22094,.82312113
156,M,student,0,4304,.9624657
157,F,employed,1,4009,.79531866
158,M,unemployed,1,44385,.6812166
159,M,employed,1,40736,.5888204
160,M,employed,0,7653,.89760828
161,M,unemployed,1,0,0
162,M,employed,1,11231,.70347077
163,M,employed,1,11946,.22438596
164,F,unemployed,1,0,.055512805
165,M,employed,0,15249,.64067662
166,F,employed,0,14075,.32816875
167,M,employed,1,64217,0
168,M,employed,1,187934,.33700672
169,M,employed,1,6558,.6655423
170,F,retired,1,7337,0
171,F,unemployed,1,0,.42113128
172,M,employed,1,29818,0
173,M,student,0,16362,.99953437
174,M,employed,1,150661,0
175,M,employed,1,11626,0
176,F,student,0,0,.36891276
177,F,unemployed,1,0,0
178,M,unemployed,0,0,.57907164
179,M,student,0,0,.83948982
180,M,employed,1,17450,.65014583
181,F,employed,1,10743,.1087513
182,M,unemployed,0,0,.84447879
183,M,employed,1,18045,0
184,M,retired,1,47543,0
185,F,employed,1,11846,.24852663
186,F,employed,1,7806,.074495107
187,M,employed,1,17850,.6638965
188,M,employed,1,9389,.79215568
189,M,employed,1,14605,0
190,F,employed,1,9144,.79274738
191,F,unemployed,1,70115,.15135929
192,M,employed,1,14232,.64814931
193,M,employed,1,33361,0
194,M,employed,1,6766,.77837765
195,M,employed,1,8963,0
196,M,unemployed,0,16699,.57773811
197,F,employed,1,15302,.20700774
198,F,unemployed,1,0,0
199,F,unemployed,1,0,.52219355
200,M,employed,1,6533,.92801982
201,F,employed,0,25453,.40691128
202,M,student,0,0,.8981716
203,M,student,0,0,.78086513
204,M,employed,1,16384,.92015433
205,F,employed,1,11014,.58839571
206,F,employed,1,5221,.63792676
207,M,student,0,0,.85492474
208,M,retired,1,4174,.21561822
209,M,student,0,0,.85171801
210,M,employed,1,11584,.51221186
211,F,unemployed,1,0,0
212,F,student,0,0,.94927967
213,F,student,0,2571,.96610159
214,F,employed,1,5789,.73536032
215,F,employed,0,7898,.8228839
216,M,employed,1,19939,.0081694191
217,F,retired,0,8388,0
218,M,employed,1,101471,.70362467
219,M,employed,1,32306,.81050915
220,M,employed,1,5384,.97890633
221,F,retired,1,2966,.085349187
222,M,employed,0,8907,.57570267
223,M,employed,0,9285,0
224,M,employed,1,5893,.65526962
225,M,student,0,0,.01525633
226,F,employed,1,4930,0
227,F,employed,1,6734,.57147342
228,M,student,0,38128,.08447133
229,M,employed,1,37340,0
230,M,employed,1,14412,.65487796
231,M,unemployed,0,20706,.40785965
232,M,employed,1,8056,.52018642
233,F,employed,0,13548,.1216089
234,F,retired,1,102632,0
235,M,employed,0,174363,.10332946
236,M,employed,1,8163,0
237,M,student,0,0,.99885571
238,M,retired,1,7627,0
239,M,retired,0,6375,.20256424
240,F,employed,0,6005,.69121647
241,M,employed,0,49763,0
242,M,employed,1,70506,.62793595
243,M,employed,1,47996,.74128687
244,F,employed,1,6107,.75425768
245,M,employed,1,11092,.23899364
246,M,retired,0,10214,.21746442
247,M,employed,1,7322,.24387747
248,F,employed,1,6527,0
249,M,employed,1,15256,.70980293
250,F,employed,1,70375,.55257905
251,M,unemployed,1,0,.74426353
252,F,employed,1,36701,.63345265
253,F,employed,1,9876,.60235471
254,M,employed,1,6287,.57916403
255,F,student,0,0,.9706049
256,F,employed,0,6116,.57250732
257,M,employed,1,7227,0
258,M,employed,1,7189,0
259,F,employed,1,5795,.81995118
260,M,retired,1,4430,0
261,M,student,1,0,.12978534
262,M,employed,1,14073,.59722066
263,F,retired,1,6192,.20345071
264,F,employed,0,16313,.2053179
265,M,employed,0,6197,.74726146
266,F,unemployed,1,9825,.50921249
267,F,employed,1,4193,.61713785
268,F,unemployed,1,0,.52288496
269,M,retired,0,3927,.24637881
270,M,employed,1,7561,0
271,F,employed,1,13468,.7915712
272,F,employed,1,6200,0
273,M,unemployed,1,0,.76116991
274,F,employed,1,31366,.49063897
275,M,employed,1,29806,0
276,F,unemployed,0,18030,.44423091
277,M,retired,1,5074,0
278,M,employed,1,8922,.055629555
279,F,unemployed,0,6861,.60696322
280,M,unemployed,0,0,.72339261
281,M,employed,0,9640,.74013042
282,F,employed,1,8032,.3616502
283,F,student,0,205038,.41572016
284,M,student,0,0,.74507856
285,M,employed,1,20686,.098079875
